,602.0
N2H+v=0,0.0
N2D+,0.0
15NNH+,0.0
N15NH+,0.0
COv=0,0.0
COv=1,0.0
13COv=0,0.0
C18O,0.0
C17O,0.0
13C17O,0.0
13C18O,0.0
CNv=0,0.0
13CN,0.0
C15N,0.0
CCS,0.0
C13CS,0.0
13CCS,0.0
CC34S,0.0
CH3OHvt=0,0.0
13CH3OHvt=0,0.0
CH318OH,0.0
CH3OHvt=1,0.0
13CH3OHvt=1,0.0
SO2v=0,0.0
33SO2,0.0027823542959323853
34SO2v=0,2.6199497057718377e-05
SO2v2=1,1.7277113958910308e-07
CSv=0,0.0
13C34Sv=0,0.0
C36Sv=0,0.0
C34Sv=0,0.0
CSv=1-0,0.0
13CSv=0,0.0
C33Sv=0,0.0
CSv=1,0.0
C34Sv=1,0.0
HCNv=0,0.0
HCNv2=1,0.0
HCNv2=2,0.0
HCN v3=1,0.0
HC15Nv=0,0.0
H13CNv2=1,0.0
H13CNv=0,0.0
HCNv1=1,0.0
HCNv3=1,0.0
DCNv=0,0.0
DCNv2=1,0.0
HCNv2=4,0.0
HCNv2=1^1-v2=4^0,0.0
HCO+v=0,0.0
HC18O+,0.0
HC17O+,0.0
H13CO+,0.0
H2CS,0.0
H213CS,0.0
H2C34S,0.0
HC5Nv=0,0.0
HC5Nv11=1,0.0
HCC13CCCN,0.0
HCCCC13CN,0.0
HCCC13CCN,0.0
H13CCCCCN,0.0
HC13CCCCN,0.0
H2S,0.0
H234S,0.0
D2S,0.0
OS18O,0.0001065733585553079
OS17O,0.0
H2CO,0.0
H2C18O,0.0
H213CO,0.0
